# angle_deg distance_mm
335.484 557.750
336.891 557.000
346.328 1870.500
347.734 1834.500
349.156 1807.000
350.594 1787.750
352.016 1769.250
353.438 1747.750
354.812 1723.500
356.219 1729.500
10.047 2206.500
11.438 2187.250
12.812 2186.000
14.219 2184.750
15.594 2181.750
16.984 2180.250
18.422 2179.000
19.828 2177.500
21.219 2178.500
22.594 2181.000
24.000 2182.250
28.188 2190.250
29.594 2196.750
30.969 2206.250
32.391 2219.000
33.781 2236.500
35.219 2254.500
36.609 2272.500
38.016 2289.750
39.438 2306.750
40.828 2330.250
42.188 2356.750
43.609 2382.000
46.938 1232.750
48.422 1226.500
49.781 1223.750
51.219 1227.000
52.625 1232.750
53.953 1243.500
57.266 900.000
58.656 887.250
60.078 886.500
61.453 896.750
82.141 588.750
83.625 577.750
84.828 569.250
86.469 564.000
87.672 560.250
89.203 556.000
90.531 553.500
91.875 552.500
93.344 553.000
94.859 555.000
101.812 580.250
103.094 590.000
104.281 605.000
122.047 2617.500
123.453 2647.750
146.156 1638.250
175.938 230.000
185.188 204.500
235.500 140.250
266.859 484.000
268.156 488.250
269.812 492.250
275.844 1904.250
277.266 1887.000
280.766 935.250
282.172 959.500
285.188 801.250
286.766 785.750
288.094 786.500
292.375 2523.000
295.281 2246.000
312.203 204.750
313.609 201.250
335.078 557.750
336.344 557.000
341.344 2724.500
342.781 2716.750
347.188 1847.250
348.594 1819.000
350.016 1796.250
351.406 1776.500
352.828 1756.500
354.219 1734.500
355.594 1716.750
6.594 2220.250
9.375 2202.000
12.172 2189.000
13.547 2183.500
14.969 2179.500
16.344 2178.500
17.734 2179.000
19.156 2176.250
20.547 2176.500
21.938 2178.750
23.344 2180.250
24.703 2182.250
26.141 2151.750
28.906 2193.000
30.281 2201.500
31.688 2213.250
33.062 2228.000
34.469 2244.750
35.969 2263.500
37.344 2281.000
38.750 2298.250
40.141 2318.500
41.531 2343.000
42.953 2368.750
44.312 2393.000
47.750 1230.000
49.156 1222.500
50.469 1223.500
51.922 1220.000
53.250 1230.500
54.656 1250.500
58.031 891.500
59.344 887.500
60.875 891.250
81.266 595.500
82.891 582.500
84.328 573.500
85.750 566.500
86.969 561.500
88.422 557.750
89.953 554.500
91.359 552.750
92.750 553.500
94.016 553.750
95.375 558.500
99.469 567.750
100.875 575.750
102.406 584.250
103.547 595.500
121.312 2652.500
122.719 2650.000
124.109 2648.500
125.531 2671.250
126.906 2681.500
145.500 1649.500
184.547 200.500
267.922 484.000
276.672 1890.750
280.250 929.000
281.672 941.000
283.000 965.000
286.172 791.500
287.547 786.500
311.672 205.000
313.062 202.750
314.469 201.000
334.500 558.500
335.797 557.500
337.188 556.500
340.828 2726.250
342.219 2723.500
346.656 1861.750
348.031 1826.750
349.453 1803.000
350.828 1783.250
352.219 1766.000
353.656 1744.500
355.078 1721.500
356.438 1737.750
8.812 2212.250
10.234 2199.000
11.609 2191.500
15.812 2183.250
17.203 2177.500
18.594 2176.250
20.016 2175.500
21.375 2176.750
22.781 2180.000
24.172 2182.000
28.328 2189.750
29.719 2198.000
31.141 2208.000
32.547 2219.250
33.922 2236.000
35.391 2254.750
36.812 2274.000
38.172 2292.000
39.609 2308.500
40.969 2332.000
42.359 2360.500
43.766 2385.500
47.109 1230.500
48.547 1226.750
50.000 1227.000
51.312 1227.750
52.766 1230.500
54.156 1243.250
57.344 898.250
58.859 888.500
60.203 889.000
61.672 897.750
82.062 587.250
83.672 577.500
85.109 569.250
86.281 563.500
87.953 559.750
89.141 556.000
90.531 553.500
91.984 552.500
93.516 553.000
94.969 554.750
101.688 580.250
102.969 590.000
104.438 605.000
122.078 2620.000
123.500 2648.250
144.812 1666.250
146.266 1637.500
175.219 229.750
269.828 493.750
276.109 1903.500
281.094 936.250
282.422 959.750
285.609 800.500
286.984 785.250
288.297 791.000
313.156 200.500
333.844 559.750
335.344 558.000
336.625 557.250
341.656 2707.500
343.062 2685.000
347.438 1837.500
348.828 1810.000
350.281 1791.000
351.656 1773.250
353.078 1752.000
354.484 1728.250
355.859 1717.250
6.797 2223.750
9.641 2200.250
12.438 2187.000
13.844 2183.750
15.219 2181.000
16.609 2178.750
18.016 2178.000
19.438 2177.500
20.812 2178.250
22.219 2180.250
23.625 2181.250
27.781 2189.000
29.156 2196.250
30.594 2204.250
31.984 2215.500
33.391 2231.250
